Transaction Date,Remarks,Debit Amount,Credit Amount,Available Balance
2025-01-03,OPENING BALANCE,0.00,0.00,280500.00
2025-01-07,NIP/TECHNOVATE SOLUTIONS/Consultancy payment January,0.00,380000.00,660500.00
2025-01-10,POS/SPAR Supermarket Abuja,22000.00,0.00,638500.00
2025-01-14,WEB/AWS Cloud Hosting Invoice,42000.00,0.00,596500.00
2025-01-18,TRANSFER/House Rent Q1 2025 to MALLAM GARBA,375000.00,0.00,221500.00
2025-01-22,MOBILE/Airtime Purchase GLO NG,3500.00,0.00,218000.00
2025-01-25,NIP/BRIGHT FUTURES NGO/Contract design work,0.00,275000.00,493000.00
2025-01-28,ATM/WD/Access Bank Wuse II,40000.00,0.00,453000.00
2025-02-05,NIP/TECHNOVATE SOLUTIONS/Consultancy payment February,0.00,380000.00,833000.00
2025-02-08,POS/Kilimanjaro Restaurant Abuja,15600.00,0.00,817400.00
2025-02-12,WEB/Figma Pro Subscription USD,12800.00,0.00,804600.00
2025-02-15,NIP/OJO ENTERPRISES/Supply of office furniture,0.00,180000.00,984600.00
2025-02-18,TRANSFER/Vehicle Maintenance workshop,85000.00,0.00,899600.00
2025-02-22,ATM/WD/Access Bank Garki,30000.00,0.00,869600.00
2025-02-28,POS/Shoprite Jabi Lake Mall,18500.00,0.00,851100.00
2025-03-05,NIP/TECHNOVATE SOLUTIONS/Consultancy payment March,0.00,380000.00,1231100.00
2025-03-10,NIP/APEX DIGITAL AGENCY/Contract web development,0.00,420000.00,1651100.00
2025-03-14,POS/Game Store Dunes Centre Abuja,28000.00,0.00,1623100.00
2025-03-18,WEB/Domain Renewal Namecheap,7500.00,0.00,1615600.00
2025-03-22,TRANSFER/NHIS Health Insurance Q1,28000.00,0.00,1587600.00
2025-03-28,NIP/FIRST SECURITIES/Investment dividend Q1,0.00,42000.00,1629600.00
2025-03-31,MOBILE/Airtime Purchase MTN NG,5000.00,0.00,1624600.00
2025-04-05,NIP/TECHNOVATE SOLUTIONS/Consultancy payment April,0.00,380000.00,2004600.00
2025-04-08,TRANSFER/House Rent Q2 2025 to MALLAM GARBA,375000.00,0.00,1629600.00
2025-04-12,POS/SPAR Supermarket Wuse,19500.00,0.00,1610100.00
2025-04-15,WEB/Adobe Creative Cloud Annual,65000.00,0.00,1545100.00
2025-04-20,ATM/WD/Access Bank Maitama,35000.00,0.00,1510100.00
2025-04-25,NIP/PINNACLE CORP/Contract UX design project,0.00,320000.00,1830100.00
2025-04-28,POS/Chicken Republic Wuse 2,6500.00,0.00,1823600.00
2025-05-05,NIP/TECHNOVATE SOLUTIONS/Consultancy payment May,0.00,380000.00,2203600.00
2025-05-10,POS/Dunes Centre Cinema,8000.00,0.00,2195600.00
2025-05-14,TRANSFER/Car servicing and tyres,95000.00,0.00,2100600.00
2025-05-18,WEB/Google Workspace Business,8500.00,0.00,2092100.00
2025-05-22,ATM/WD/Access Bank Area 1,25000.00,0.00,2067100.00
2025-05-28,MOBILE/Airtime Purchase Airtel NG,4000.00,0.00,2063100.00
2025-05-31,POS/ShopRite Apo Mall,16200.00,0.00,2046900.00
2025-06-05,NIP/TECHNOVATE SOLUTIONS/Consultancy payment June,0.00,380000.00,2426900.00
2025-06-10,NIP/GREENFIELD TECH/Contract mobile app development,0.00,350000.00,2776900.00
2025-06-15,POS/Kilimanjaro Restaurant Jabi,12500.00,0.00,2764400.00
2025-06-18,TRANSFER/Pension RSA contribution H1,0.00,0.00,2764400.00
2025-06-22,WEB/Notion Team Plan,6000.00,0.00,2758400.00
2025-06-28,ATM/WD/Access Bank Garki II,30000.00,0.00,2728400.00
2025-06-30,NIP/FIRST SECURITIES/Investment interest H1,0.00,55000.00,2783400.00
2025-07-05,NIP/TECHNOVATE SOLUTIONS/Consultancy payment July,0.00,380000.00,3163400.00
2025-07-08,TRANSFER/House Rent Q3 2025 to MALLAM GARBA,375000.00,0.00,2788400.00
2025-07-12,POS/SPAR Supermarket Jabi,21000.00,0.00,2767400.00
2025-07-16,WEB/AWS Cloud Hosting July,42000.00,0.00,2725400.00
2025-07-20,NIP/NEXGEN STARTUP/Contract consulting project,0.00,250000.00,2975400.00
2025-07-25,ATM/WD/Access Bank Asokoro,30000.00,0.00,2945400.00
2025-07-28,POS/Jabi Lake Mall groceries,14500.00,0.00,2930900.00
2025-08-05,NIP/TECHNOVATE SOLUTIONS/Consultancy payment August,0.00,380000.00,3310900.00
2025-08-10,POS/Shoprite Gwarinpa,17800.00,0.00,3293100.00
2025-08-14,TRANSFER/NHIS Health Insurance Q3,28000.00,0.00,3265100.00
2025-08-18,WEB/Figma Pro renewal,12800.00,0.00,3252300.00
2025-08-22,ATM/WD/Access Bank Kubwa,25000.00,0.00,3227300.00
2025-08-25,MOBILE/Airtime Purchase MTN NG,5000.00,0.00,3222300.00
2025-08-31,POS/Chicken Republic Garki,5500.00,0.00,3216800.00
2025-09-05,NIP/TECHNOVATE SOLUTIONS/Consultancy payment September,0.00,380000.00,3596800.00
2025-09-10,NIP/BRIGHTPATH AGENCY/Contract brand identity,0.00,280000.00,3876800.00
2025-09-15,POS/SPAR Apo,13200.00,0.00,3863600.00
2025-09-18,TRANSFER/Generator repair and diesel,45000.00,0.00,3818600.00
2025-09-22,WEB/LinkedIn Premium Annual,35000.00,0.00,3783600.00
2025-09-28,ATM/WD/Access Bank Wuse,20000.00,0.00,3763600.00
2025-09-30,NIP/FIRST SECURITIES/Investment dividend Q3,0.00,48000.00,3811600.00
2025-10-05,NIP/TECHNOVATE SOLUTIONS/Consultancy payment October,0.00,380000.00,4191600.00
2025-10-08,TRANSFER/House Rent Q4 2025 to MALLAM GARBA,375000.00,0.00,3816600.00
2025-10-12,POS/Jabi Lake Mall electronics,52000.00,0.00,3764600.00
2025-10-16,WEB/AWS Cloud Hosting October,42000.00,0.00,3722600.00
2025-10-20,ATM/WD/Access Bank Maitama,30000.00,0.00,3692600.00
2025-10-25,POS/Kilimanjaro Restaurant Asokoro,9800.00,0.00,3682800.00
2025-10-31,MOBILE/Airtime Purchase GLO NG,4000.00,0.00,3678800.00
2025-11-05,NIP/TECHNOVATE SOLUTIONS/Consultancy payment November,0.00,380000.00,4058800.00
2025-11-10,POS/Shoprite Ceddi Plaza,14200.00,0.00,4044600.00
2025-11-14,TRANSFER/Car insurance renewal AXA Mansard,72000.00,0.00,3972600.00
2025-11-18,WEB/Google Workspace renewal,8500.00,0.00,3964100.00
